flow_name,packets_sent,packets_received,packets_lost,packets_unaccounted,loss_rate_percent,bytes_sent,transfer_time_ms,throughput_mbps,path_switches,latency_min_ms,latency_max_ms,latency_avg_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_stddev_ms
SB-OVGU-to-KAIST,34133,82,0,34051,0.0,51199500,98027.01,4.1784,17,587.0002,97813.0075,30506.0878,25933.0021,84985.0065,97813.0075,25875.882
SB-TUB-to-NUS,34133,168,0,33965,0.0,51199500,105322.01,3.889,14,602.0002,104731.0081,41739.4433,39794.0027,94844.0061,104412.0068,29907.0856
SB-LMU-to-UTokyo,34133,195,0,33938,0.0,51199500,99152.01,4.131,15,487.0002,98609.0065,53595.9321,56623.0044,94532.0072,98037.0003,29402.1996
SB-KIT-to-NUS,30720,0,0,30720,0.0,46080000,0,0,12,0,0,0,0,0,0,0
SB-ETHZ-to-KAIST,30720,0,0,30720,0.0,46080000,0,0,8,0,0,0,0,0,0,0
SB-Sorbonne-to-UTokyo,30720,33,0,30687,0.0,46080000,102627.01,3.592,12,74877.005,102536.0068,90637.6417,91772.0061,101639.0067,102536.0068,7384.3564
SB-KAIST-to-OVGU,23893,661,0,23232,0.0,35839500,99911.01,2.8697,16,311.0002,99251.0066,49722.7551,49631.0034,94334.0062,98363.0002,28655.291
SB-UTokyo-to-LMU,23893,32,0,23861,0.0,35839500,97893.01,2.9289,11,333.0002,97862.0112,27562.6595,9732.0012,91998.0105,97862.0112,33003.9002
SB-CMU-to-NUS,23893,11,0,23882,0.0,35839500,97653.01,2.9361,12,72747.0066,77608.0068,75213.5528,75228.0066,77608.0068,77608.0068,1650.4348
SB-MIT-to-UTokyo,23893,0,0,23893,0.0,35839500,0,0,9,0,0,0,0,0,0,0
SB-Columbia-to-KAIST,23893,0,0,23893,0.0,35839500,0,0,12,0,0,0,0,0,0,0
SB-USC-to-NUS,23893,0,0,23893,0.0,35839500,0,0,9,0,0,0,0,0,0,0
